BusinessPartner,BusinessPartnerGrouping,BusinessPartnerName,Country,CityName,PostalCode,StreetName,VATRegistration,BusinessPartnerRoles,CompanyCodes,SourceSystems,SourceCustomers,SourceVendors
1000010,BPGS,PHOENIX PHARMAHANDEL,DE,MANNHEIM,68199,PFINGSTWEIDSTRASSE 10,DE143987654,FLCU00;FLCU01,DE01,GEP,GEP/0000210055,
1000011,BPGS,GRUPO FARMACEUTICO MEXICO,MX,MEXICO CITY,11000,PASEO DE LA REFORMA 505,,FLCU00;FLCU01,MX01,GEP,GEP/0000210056,
1000012,BPGS,SINOPHARM GROUP CO,CN,SHANGHAI,200011,221 FUZHOU ROAD,,FLCU00;FLCU01,CN01,GEP,GEP/0000210057,
1000013,BPGS,GSK IRELAND MANUFACTURING,IE,CORK,T45 XY12,CURRABINNY,IE6388047V,FLCU00;FLCU01;FLVN00;FLVN01,IE01,GEP,GEP/0000210059,GEP/0000510017
1000014,BPGS,INSTITUT PASTEUR DE DAKAR,FR,PARIS,75015,25 RUE DU DOCTEUR ROUX,FR40775688131,FLCU00;FLCU01,BE02,GVP,GVP/0000210045,
1000015,BPGS,GAVI ALLIANCE,CH,GENEVA,1218,CHEMIN DU POMMIER 40,,FLCU00;FLCU01,BE02,GVP,GVP/0000210114,
1000016,BPGS,MINISTRY OF HEALTH KENYA,KE,NAIROBI,00100,AFYA HOUSE CATHEDRAL ROAD,,FLCU00;FLCU01,BE02,GVP,GVP/0000210115,
1000017,BPGS,BIOFARMA PERSERO,ID,BANDUNG,40161,JALAN PASTEUR 28,,FLCU00;FLCU01,BE02,GVP,GVP/0000210118,
1000018,BPGS,LONZA AG,CH,BASEL,4052,MUENCHENSTEINERSTRASSE 38,CHE105830950,FLVN00;FLVN01,BE01;BE02;GB01,GEP;GVP,,GEP/0000510012;GEP/0000510020;GVP/0000510032
1000019,BPGS,THERMO FISHER SCIENTIFIC,US,WALTHAM,02451,168 THIRD AVENUE,,FLVN00;FLVN01,GB01,GEP,,GEP/0000510013
1000020,BPGS,CATALENT PHARMA SOLUTIONS,US,SOMERSET,08873,14 SCHOOLHOUSE ROAD,,FLVN00;FLVN01,IE01,GEP,,GEP/0000510014
1000021,BPGS,SARTORIUS STEDIM BIOTECH,DE,GOETTINGEN,37079,AUGUST-SPINDLER-STR 11,DE114581354,FLVN00;FLVN01,BE01,GEP,,GEP/0000510015
1000022,BPGS,AMCOR FLEXIBLES,GB,BRISTOL,BS10 7TQ,CRIBBS CAUSEWAY,GB456789012,FLVN00;FLVN01,GB01,GEP,,GEP/0000510016
1000023,BPGS,DHL SUPPLY CHAIN,GB,MILTON KEYNES,MK9 1EN,SILBURY BOULEVARD,GB567890123,FLVN00;FLVN01,GB01,GEP,,GEP/0000510018
1000024,BPGS,SGS LIFE SCIENCES,BE,WAVRE,1300,BERKENLAAN 8B,BE0404882750,FLVN00;FLVN01,BE01;BE02,GEP;GVP,,GEP/0000510019;GVP/0000510031
1000025,BPGS,SIEGFRIED HOLDING,CH,ZOFINGEN,4800,UNTERE BRUEHLSTRASSE 4,,FLVN00;FLVN01,GB01,GEP,,GEP/0000510021
1000026,BPGS,WEST PHARMACEUTICAL SERVICES,US,EXTON,19341,530 HERMAN O WEST DR,,FLVN00;FLVN01,BE01,GEP,,GEP/0000510022
1000027,BPGS,SCHOTT PHARMA AG,DE,MAINZ,55122,HATTENBERGSTRASSE 10,DE811944216,FLVN00;FLVN01,BE01;BE02,GEP;GVP,,GEP/0000510024;GVP/0000510033
1000028,BPGS,LOFTWARE INC,US,PORTSMOUTH,03801,249 CORPORATE DRIVE,,FLVN00;FLVN01,GB01,GEP,,GEP/0000510025
1000029,BPGS,BIOQUELL UK LTD,GB,ANDOVER,SP10 3LF,52 ROYCE CLOSE,GB678901234,FLVN00;FLVN01,BE02,GVP,,GVP/0000510012
1000030,BPGS,MERIEUX NUTRISCIENCES,FR,LYON,69007,17 RUE BOURGELAT,,FLVN00;FLVN01,BE02,GVP,,GVP/0000510034
1000031,BPGS,CYTIVA EUROPE GMBH,DE,FREIBURG,79111,MUNZINGER STRASSE 5,DE327018842,FLVN00;FLVN01,BE02,GVP,,GVP/0000510035
1000032,BPGS,BECTON DICKINSON SA,ES,MADRID,28108,CALLE VIA DE LAS DOS CASTILLAS 26,,FLVN00;FLVN01,BE02,GVP,,GVP/0000510036
